,MBID,#1 Most Used Bpm,Percentage of 1st,#2 Most Used Bpm,Percentage of 2nd,Total # Duplicates
827,d36e0b66-a91c-44ee-98c1-881ac8157439,97.0,97.3684210526,140.0,2.631578947368421,38
828,d3bd52f1-3d84-445b-84f5-7899de8f9340,117.0,100.0,Nan,Nan,49
829,d3f1cd62-ae04-46d0-ba11-ec1970f890a0,93.0,97.6744186047,172.0,2.3255813953488373,43
830,d4734031-c35b-4994-811d-da5d299e1f6e,144.0,100.0,Nan,Nan,41
831,d528d647-cabf-4001-a8f1-78be5637d66b,106.0,100.0,Nan,Nan,35
832,d548a707-e0a8-48a0-94b4-e267793a918e,123.0,97.7272727273,128.0,2.272727272727273,44
833,d604a1b6-2cbd-4dc6-9682-a746405f247b,148.0,100.0,Nan,Nan,42
834,d63ad586-1124-4df1-9a2b-c014d7b7cb02,125.0,96.875,Nan,Nan,32
835,d63bf39f-ec30-4f9f-b5a1-1397756016a3,124.0,100.0,Nan,Nan,37
836,d66a0461-ed4f-4cd8-8095-0aeae25bcea1,145.0,100.0,Nan,Nan,34
837,d6760a03-b4fe-429b-ac0e-f49416a12409,126.0,100.0,Nan,Nan,43
838,d6e578ac-bfc0-4a2e-9e08-d68e2c633536,123.0,60.5263157895,66.0,7.894736842105263,38
839,d7bd3f0e-2aba-424c-9457-db5341893aef,122.0,100.0,Nan,Nan,32
840,d8417d44-9324-43b8-838a-e1034ac11f8c,144.0,100.0,Nan,Nan,32
841,d893c112-8dc3-4a46-8e11-3744d628917a,121.0,100.0,Nan,Nan,41
842,d8bb0832-9bb3-42ef-a861-ae9bf07a2089,121.0,93.1818181818,Nan,Nan,44
843,d8c3f47e-d7f6-408b-a65b-90c77a557336,125.0,86.1111111111,145.0,13.88888888888889,36
844,d8c79588-fcbb-46c3-8838-85b212475bb2,126.0,92.7272727273,Nan,Nan,55
845,d90da67d-eb0c-4e1c-81be-3a12bcf8fd13,124.0,48.7179487179,129.0,25.64102564102564,39
846,d9944f08-0291-4939-9630-65f0ae8657ae,129.0,100.0,Nan,Nan,38
847,d9c83399-5c8a-4c66-804b-95ad757c8f1b,135.0,68.5185185185,Nan,Nan,54
848,da2c48eb-09af-4d74-96df-20b077c1c79f,118.0,100.0,Nan,Nan,44
849,da31bbd5-d020-41d8-8ed5-908c18c13c55,162.0,66.6666666667,155.0,27.27272727272727,33
850,daa9e1bd-56aa-48bf-9c7b-6cd7cac8c223,76.0,96.0,152.0,2.0,50
851,daaee15a-8a4c-4275-a7c1-5b6211f0ec69,138.0,100.0,Nan,Nan,38
852,dac6aecc-fbf7-418b-9bdc-1107469b7768,166.0,98.7179487179,Nan,Nan,78
853,daebd800-fe8a-48bf-bfb4-d8655a895dff,139.0,96.9696969697,Nan,Nan,33
854,db63cb9b-a80c-4a81-9f0e-9a24fd4aec7c,112.0,100.0,Nan,Nan,54
